,Apple,Eggplant,Rice,Egg,Milk,Orange,Tomatoes,Bread,"Beef (raw, ground)","Yogurt (Low fat, plain)",Potato,Banana,Olive Oil,"Chicken (raw, ground)","Fish (raw, carp)",Cheese ball,oats,Soy beans paste,Water melon
Apple,1.0000000000000002,0.804047636207616,0.73455054439152,0.3564827015737996,0.7266895630648228,0.9439439445065454,0.7521337972377243,0.7163869652874318,0.4180602294087026,0.7508181630577342,0.6696890999032342,0.944111718357996,0.18634622128654463,0.5546122843857705,0.21835279057078383,0.23105923787145863,0.8169361560100725,0.2214591414829326,0.9484165194588822
Eggplant,0.804047636207616,1.0,0.3618841738732392,0.45859827846144613,0.8508188865243477,0.9501170139297637,0.9963087849217436,0.43023882744600395,0.5728442580788978,0.9022105676542858,0.8178152229470198,0.9539573244630596,0.07542463430292085,0.8060504531230417,0.3154677642406301,0.2342777959418588,0.6084902056621027,0.12515424495214839,0.9390990570415905
Rice,0.73455054439152,0.3618841738732392,0.9999999999999998,0.5206234943502968,0.38936180367037493,0.5510266857623843,0.30448944648429355,0.9657571034881699,0.46485737335397725,0.4025561494334921,0.6161931830642785,0.5483302865311208,0.2458940175625804,0.31538276279206884,0.18225587688331046,0.24121061711534134,0.9375876389658956,0.43872380985956955,0.6437976218008489
Egg,0.3564827015737996,0.45859827846144613,0.5206234943502968,1.0,0.7121280872883242,0.43365220480071787,0.4540321488618409,0.6710676331380327,0.9626267071610748,0.6759688814446237,0.6425858959297515,0.4101239709796782,0.3736061248033823,0.8171194058343665,0.6040184479444848,0.5055358417678507,0.719123582176194,0.4542618494926836,0.49151266198399857
Milk,0.7266895630648228,0.8508188865243477,0.38936180367037493,0.7121280872883242,1.0,0.8539430054875687,0.8342047675033853,0.5100891285771426,0.7608344824461037,0.9569024598526542,0.6552136413120759,0.8312766256936638,0.3024899676412224,0.895954206707763,0.6071554591121859,0.543388725548303,0.6532947897367635,0.22213368854274104,0.8241327009586036
Orange,0.9439439445065454,0.9501170139297637,0.5510266857623843,0.43365220480071787,0.8539430054875687,1.0,0.9202515095897379,0.5850411125882701,0.5324044340516745,0.8940686290684994,0.75589655975566,0.9976248240697204,0.13194103380728514,0.7351728953422171,0.2895979540124767,0.2869767658682968,0.7345494319318026,0.169444202533373,0.9868798424828914
Tomatoes,0.7521337972377243,0.9963087849217436,0.30448944648429355,0.4540321488618409,0.8342047675033853,0.9202515095897379,1.0,0.3815205233720411,0.5695316758801476,0.8880866519485997,0.8223543477324191,0.925478896653969,0.05620697484360784,0.8074059598172515,0.3150452857170893,0.22329761931071423,0.5628229496940289,0.11286716607155449,0.9100649225927641
Bread,0.7163869652874318,0.43023882744600395,0.9657571034881699,0.6710676331380327,0.5100891285771426,0.5850411125882701,0.3815205233720411,1.0,0.6174832660349542,0.5280418805947242,0.6832833362210644,0.5744443418407872,0.2861204085776579,0.46454037653448826,0.2556418884917736,0.3908071160178352,0.962761958571255,0.5981922646541117,0.6737273343015395
"Beef (raw, ground)",0.4180602294087026,0.5728442580788978,0.46485737335397725,0.9626267071610748,0.7608344824461037,0.5324044340516745,0.5695316758801476,0.6174832660349542,1.0000000000000002,0.7818253825463075,0.6664146632628865,0.5081892971165,0.3419502850889731,0.9167196215829128,0.45989788404256765,0.4863252318268484,0.7096542567781584,0.3713416281320481,0.5702953451160325
"Yogurt (Low fat, plain)",0.7508181630577342,0.9022105676542858,0.4025561494334921,0.6759688814446237,0.9569024598526542,0.8940686290684994,0.8880866519485997,0.5280418805947242,0.7818253825463075,1.0,0.7143616137632954,0.870941013723008,0.16889866095456038,0.9352072039485078,0.40619247530425195,0.5123479554893455,0.6767153279422532,0.2406675104730561,0.8675824122170956
Potato,0.6696890999032342,0.8178152229470198,0.6161931830642785,0.6425858959297515,0.6552136413120759,0.75589655975566,0.8223543477324191,0.6832833362210644,0.6664146632628865,0.7143616137632954,1.0,0.7667136804633295,0.09099080087118362,0.7021229236430931,0.31643524763875824,0.2370779819159929,0.7802985982199792,0.3303789963946207,0.8360806521848393
Banana,0.944111718357996,0.9539573244630596,0.5483302865311208,0.4101239709796782,0.8312766256936638,0.9976248240697204,0.925478896653969,0.5744443418407872,0.5081892971165,0.870941013723008,0.7667136804633295,0.9999999999999999,0.12981274071023893,0.715482946628459,0.2774545599177758,0.23295412552331032,0.7263489406542382,0.16411835270359532,0.9888868032461897
Olive Oil,0.18634622128654463,0.07542463430292085,0.2458940175625804,0.3736061248033823,0.3024899676412224,0.13194103380728514,0.05620697484360784,0.2861204085776579,0.3419502850889731,0.16889866095456038,0.09099080087118362,0.12981274071023893,1.0,0.21351086448420126,0.09995861222543498,0.41072041530948644,0.29394671383257104,0.14205403825346255,0.14128306771864715
"Chicken (raw, ground)",0.5546122843857705,0.8060504531230417,0.31538276279206884,0.8171194058343665,0.895954206707763,0.7351728953422171,0.8074059598172515,0.46454037653448826,0.9167196215829128,0.9352072039485078,0.7021229236430931,0.715482946628459,0.21351086448420126,1.0,0.4564386812269092,0.42161979680392986,0.6229734625286335,0.2385220305527544,0.7293027077519167
"Fish (raw, carp)",0.21835279057078383,0.3154677642406301,0.18225587688331046,0.6040184479444848,0.6071554591121859,0.2895979540124767,0.3150452857170893,0.2556418884917736,0.45989788404256765,0.40619247530425195,0.31643524763875824,0.2774545599177758,0.09995861222543498,0.4564386812269092,0.9999999999999999,0.22885438751793713,0.3129204732467129,0.14605424327182848,0.2969528989216615
Cheese ball,0.23105923787145863,0.2342777959418588,0.24121061711534134,0.5055358417678507,0.543388725548303,0.2869767658682968,0.22329761931071423,0.3908071160178352,0.4863252318268484,0.5123479554893455,0.2370779819159929,0.23295412552331032,0.41072041530948644,0.42161979680392986,0.22885438751793713,0.9999999999999999,0.3592948719271641,0.2659585622923001,0.2615868700149628
oats,0.8169361560100725,0.6084902056621027,0.9375876389658956,0.719123582176194,0.6532947897367635,0.7345494319318026,0.5628229496940289,0.962761958571255,0.7096542567781584,0.6767153279422532,0.7802985982199792,0.7263489406542382,0.29394671383257104,0.6229734625286335,0.3129204732467129,0.3592948719271641,0.9999999999999999,0.4403343877649743,0.809424487573121
Soy beans paste,0.2214591414829326,0.12515424495214839,0.43872380985956955,0.4542618494926836,0.22213368854274104,0.169444202533373,0.11286716607155449,0.5981922646541117,0.3713416281320481,0.2406675104730561,0.3303789963946207,0.16411835270359532,0.14205403825346255,0.2385220305527544,0.14605424327182848,0.2659585622923001,0.4403343877649743,0.9999999999999998,0.2305576144247448
Water melon,0.9484165194588822,0.9390990570415905,0.6437976218008489,0.49151266198399857,0.8241327009586036,0.9868798424828914,0.9100649225927641,0.6737273343015395,0.5702953451160325,0.8675824122170956,0.8360806521848393,0.9888868032461897,0.14128306771864715,0.7293027077519167,0.2969528989216615,0.2615868700149628,0.809424487573121,0.2305576144247448,1.0
