1,2,3,"('random', 0.9)",1.3309983044849591
1,2,4,"('random', 0.9)",1.3292349500234357
1,2,5,"('random', 0.9)",1.329893871547466
1,2,6,"('random', 0.9)",1.3316692843700944
1,2,7,"('random', 0.9)",1.333806918707441
1,2,8,"('random', 0.9)",1.3359548431224615
1,2,9,"('random', 0.9)",1.3380979539159419
1,2,10,"('random', 0.9)",1.3405493844161454
1,5,3,"('random', 0.9)",1.3362754968878774
1,5,4,"('random', 0.9)",1.3357191622956384
1,5,5,"('random', 0.9)",1.337720266997971
1,5,6,"('random', 0.9)",1.3411217071450643
1,5,7,"('random', 0.9)",1.3454169459479983
1,5,8,"('random', 0.9)",1.3506012003727894
1,5,9,"('random', 0.9)",1.357087289046566
1,5,10,"('random', 0.9)",1.3656287853172218
1,10,3,"('random', 0.9)",1.3315629282434251
1,10,4,"('random', 0.9)",1.3299801627357921
1,10,5,"('random', 0.9)",1.331226817338218
1,10,6,"('random', 0.9)",1.3339709953409093
1,10,7,"('random', 0.9)",1.3376465269604043
1,10,8,"('random', 0.9)",1.3423380635533597
1,10,9,"('random', 0.9)",1.348640562319682
1,10,10,"('random', 0.9)",1.3574334337321108
1,20,3,"('random', 0.9)",1.3501209868266855
1,20,4,"('random', 0.9)",1.3527751690988241
1,20,5,"('random', 0.9)",1.35918762530222
1,20,6,"('random', 0.9)",1.36850573127933
1,20,7,"('random', 0.9)",1.3808521049318276
1,20,8,"('random', 0.9)",1.3969099570547165
1,20,9,"('random', 0.9)",1.4173010251504925
1,20,10,"('random', 0.9)",1.4419088768871333
1,40,3,"('random', 0.9)",1.3490378622759422
1,40,4,"('random', 0.9)",1.3609464064329522
1,40,5,"('random', 0.9)",1.3768173322174573
1,40,6,"('random', 0.9)",1.3955671774961107
1,40,7,"('random', 0.9)",1.4169162415228749
1,40,8,"('random', 0.9)",1.4402733258537348
1,40,9,"('random', 0.9)",1.4643040965454723
1,40,10,"('random', 0.9)",1.4873185309423895
2,2,3,"('random', 0.9)",1.3309983044849591
2,2,4,"('random', 0.9)",1.3292349500234357
2,2,5,"('random', 0.9)",1.329893871547466
2,2,6,"('random', 0.9)",1.3316692843700944
2,2,7,"('random', 0.9)",1.333806918707441
2,2,8,"('random', 0.9)",1.3359548431224615
2,2,9,"('random', 0.9)",1.3380979539159419
2,2,10,"('random', 0.9)",1.3405493844161454
2,5,3,"('random', 0.9)",1.3362754968878774
2,5,4,"('random', 0.9)",1.3357191622956384
2,5,5,"('random', 0.9)",1.337720266997971
2,5,6,"('random', 0.9)",1.3411217071450643
2,5,7,"('random', 0.9)",1.3454169459479983
2,5,8,"('random', 0.9)",1.3506012003727894
2,5,9,"('random', 0.9)",1.357087289046566
2,5,10,"('random', 0.9)",1.3656287853172218
2,10,3,"('random', 0.9)",1.3315629282434251
2,10,4,"('random', 0.9)",1.3299801627357921
2,10,5,"('random', 0.9)",1.331226817338218
2,10,6,"('random', 0.9)",1.3339709953409093
2,10,7,"('random', 0.9)",1.3376465269604043
2,10,8,"('random', 0.9)",1.3423380635533597
2,10,9,"('random', 0.9)",1.348640562319682
2,10,10,"('random', 0.9)",1.3574334337321108
2,20,3,"('random', 0.9)",1.3501209868266855
2,20,4,"('random', 0.9)",1.3527751690988241
2,20,5,"('random', 0.9)",1.35918762530222
2,20,6,"('random', 0.9)",1.36850573127933
2,20,7,"('random', 0.9)",1.3808521049318276
2,20,8,"('random', 0.9)",1.3969099570547165
2,20,9,"('random', 0.9)",1.4173010251504925
2,20,10,"('random', 0.9)",1.4419088768871333
2,40,3,"('random', 0.9)",1.3490378622759422
2,40,4,"('random', 0.9)",1.3609464064329522
2,40,5,"('random', 0.9)",1.3768173322174573
2,40,6,"('random', 0.9)",1.3955671774961107
2,40,7,"('random', 0.9)",1.4169162415228749
2,40,8,"('random', 0.9)",1.4402733258537348
2,40,9,"('random', 0.9)",1.4643040965454723
2,40,10,"('random', 0.9)",1.4873185309423895
3,2,3,"('random', 0.9)",1.3309983044849591
3,2,4,"('random', 0.9)",1.3292349500234357
3,2,5,"('random', 0.9)",1.329893871547466
3,2,6,"('random', 0.9)",1.3316692843700944
3,2,7,"('random', 0.9)",1.333806918707441
3,2,8,"('random', 0.9)",1.3359548431224615
3,2,9,"('random', 0.9)",1.3380979539159419
3,2,10,"('random', 0.9)",1.3405493844161454
3,5,3,"('random', 0.9)",1.3362754968878774
3,5,4,"('random', 0.9)",1.3357191622956384
3,5,5,"('random', 0.9)",1.337720266997971
3,5,6,"('random', 0.9)",1.3411217071450643
3,5,7,"('random', 0.9)",1.3454169459479983
3,5,8,"('random', 0.9)",1.3506012003727894
3,5,9,"('random', 0.9)",1.357087289046566
3,5,10,"('random', 0.9)",1.3656287853172218
3,10,3,"('random', 0.9)",1.3315629282434251
3,10,4,"('random', 0.9)",1.3299801627357921
3,10,5,"('random', 0.9)",1.331226817338218
3,10,6,"('random', 0.9)",1.3339709953409093
3,10,7,"('random', 0.9)",1.3376465269604043
3,10,8,"('random', 0.9)",1.3423380635533597
3,10,9,"('random', 0.9)",1.348640562319682
3,10,10,"('random', 0.9)",1.3574334337321108
3,20,3,"('random', 0.9)",1.3501209868266855
3,20,4,"('random', 0.9)",1.3527751690988241
3,20,5,"('random', 0.9)",1.35918762530222
3,20,6,"('random', 0.9)",1.36850573127933
3,20,7,"('random', 0.9)",1.3808521049318276
3,20,8,"('random', 0.9)",1.3969099570547165
3,20,9,"('random', 0.9)",1.4173010251504925
3,20,10,"('random', 0.9)",1.4419088768871333
3,40,3,"('random', 0.9)",1.3490378622759422
3,40,4,"('random', 0.9)",1.3609464064329522
3,40,5,"('random', 0.9)",1.3768173322174573
3,40,6,"('random', 0.9)",1.3955671774961107
3,40,7,"('random', 0.9)",1.4169162415228749
3,40,8,"('random', 0.9)",1.4402733258537348
3,40,9,"('random', 0.9)",1.4643040965454723
3,40,10,"('random', 0.9)",1.4873185309423895
4,2,3,"('random', 0.9)",1.3309983044849591
4,2,4,"('random', 0.9)",1.3292349500234357
4,2,5,"('random', 0.9)",1.329893871547466
4,2,6,"('random', 0.9)",1.3316692843700944
4,2,7,"('random', 0.9)",1.333806918707441
4,2,8,"('random', 0.9)",1.3359548431224615
4,2,9,"('random', 0.9)",1.3380979539159419
4,2,10,"('random', 0.9)",1.3405493844161454
4,5,3,"('random', 0.9)",1.3362754968878774
4,5,4,"('random', 0.9)",1.3357191622956384
4,5,5,"('random', 0.9)",1.337720266997971
4,5,6,"('random', 0.9)",1.3411217071450643
4,5,7,"('random', 0.9)",1.3454169459479983
4,5,8,"('random', 0.9)",1.3506012003727894
4,5,9,"('random', 0.9)",1.357087289046566
4,5,10,"('random', 0.9)",1.3656287853172218
4,10,3,"('random', 0.9)",1.3315629282434251
4,10,4,"('random', 0.9)",1.3299801627357921
4,10,5,"('random', 0.9)",1.331226817338218
4,10,6,"('random', 0.9)",1.3339709953409093
4,10,7,"('random', 0.9)",1.3376465269604043
4,10,8,"('random', 0.9)",1.3423380635533597
4,10,9,"('random', 0.9)",1.348640562319682
4,10,10,"('random', 0.9)",1.3574334337321108
4,20,3,"('random', 0.9)",1.3501209868266855
4,20,4,"('random', 0.9)",1.3527751690988241
4,20,5,"('random', 0.9)",1.35918762530222
4,20,6,"('random', 0.9)",1.36850573127933
4,20,7,"('random', 0.9)",1.3808521049318276
4,20,8,"('random', 0.9)",1.3969099570547165
4,20,9,"('random', 0.9)",1.4173010251504925
4,20,10,"('random', 0.9)",1.4419088768871333
4,40,3,"('random', 0.9)",1.3490378622759422
4,40,4,"('random', 0.9)",1.3609464064329522
4,40,5,"('random', 0.9)",1.3768173322174573
4,40,6,"('random', 0.9)",1.3955671774961107
4,40,7,"('random', 0.9)",1.4169162415228749
4,40,8,"('random', 0.9)",1.4402733258537348
4,40,9,"('random', 0.9)",1.4643040965454723
4,40,10,"('random', 0.9)",1.4873185309423895
5,2,3,"('random', 0.9)",1.3309983044849591
5,2,4,"('random', 0.9)",1.3292349500234357
5,2,5,"('random', 0.9)",1.329893871547466
5,2,6,"('random', 0.9)",1.3316692843700944
5,2,7,"('random', 0.9)",1.333806918707441
5,2,8,"('random', 0.9)",1.3359548431224615
5,2,9,"('random', 0.9)",1.3380979539159419
5,2,10,"('random', 0.9)",1.3405493844161454
5,5,3,"('random', 0.9)",1.3362754968878774
5,5,4,"('random', 0.9)",1.3357191622956384
5,5,5,"('random', 0.9)",1.337720266997971
5,5,6,"('random', 0.9)",1.3411217071450643
5,5,7,"('random', 0.9)",1.3454169459479983
5,5,8,"('random', 0.9)",1.3506012003727894
5,5,9,"('random', 0.9)",1.357087289046566
5,5,10,"('random', 0.9)",1.3656287853172218
5,10,3,"('random', 0.9)",1.3315629282434251
5,10,4,"('random', 0.9)",1.3299801627357921
5,10,5,"('random', 0.9)",1.331226817338218
5,10,6,"('random', 0.9)",1.3339709953409093
5,10,7,"('random', 0.9)",1.3376465269604043
5,10,8,"('random', 0.9)",1.3423380635533597
5,10,9,"('random', 0.9)",1.348640562319682
5,10,10,"('random', 0.9)",1.3574334337321108
5,20,3,"('random', 0.9)",1.3501209868266855
5,20,4,"('random', 0.9)",1.3527751690988241
5,20,5,"('random', 0.9)",1.35918762530222
5,20,6,"('random', 0.9)",1.36850573127933
5,20,7,"('random', 0.9)",1.3808521049318276
5,20,8,"('random', 0.9)",1.3969099570547165
5,20,9,"('random', 0.9)",1.4173010251504925
5,20,10,"('random', 0.9)",1.4419088768871333
5,40,3,"('random', 0.9)",1.3490378622759422
5,40,4,"('random', 0.9)",1.3609464064329522
5,40,5,"('random', 0.9)",1.3768173322174573
5,40,6,"('random', 0.9)",1.3955671774961107
5,40,7,"('random', 0.9)",1.4169162415228749
5,40,8,"('random', 0.9)",1.4402733258537348
5,40,9,"('random', 0.9)",1.4643040965454723
5,40,10,"('random', 0.9)",1.4873185309423895
6,2,3,"('random', 0.9)",1.3309983044849591
6,2,4,"('random', 0.9)",1.3292349500234357
6,2,5,"('random', 0.9)",1.329893871547466
6,2,6,"('random', 0.9)",1.3316692843700944
6,2,7,"('random', 0.9)",1.333806918707441
6,2,8,"('random', 0.9)",1.3359548431224615
6,2,9,"('random', 0.9)",1.3380979539159419
6,2,10,"('random', 0.9)",1.3405493844161454
6,5,3,"('random', 0.9)",1.3362754968878774
6,5,4,"('random', 0.9)",1.3357191622956384
6,5,5,"('random', 0.9)",1.337720266997971
6,5,6,"('random', 0.9)",1.3411217071450643
6,5,7,"('random', 0.9)",1.3454169459479983
6,5,8,"('random', 0.9)",1.3506012003727894
6,5,9,"('random', 0.9)",1.357087289046566
6,5,10,"('random', 0.9)",1.3656287853172218
6,10,3,"('random', 0.9)",1.3315629282434251
6,10,4,"('random', 0.9)",1.3299801627357921
6,10,5,"('random', 0.9)",1.331226817338218
6,10,6,"('random', 0.9)",1.3339709953409093
6,10,7,"('random', 0.9)",1.3376465269604043
6,10,8,"('random', 0.9)",1.3423380635533597
6,10,9,"('random', 0.9)",1.348640562319682
6,10,10,"('random', 0.9)",1.3574334337321108
6,20,3,"('random', 0.9)",1.3501209868266855
6,20,4,"('random', 0.9)",1.3527751690988241
6,20,5,"('random', 0.9)",1.35918762530222
6,20,6,"('random', 0.9)",1.36850573127933
6,20,7,"('random', 0.9)",1.3808521049318276
6,20,8,"('random', 0.9)",1.3969099570547165
6,20,9,"('random', 0.9)",1.4173010251504925
6,20,10,"('random', 0.9)",1.4419088768871333
6,40,3,"('random', 0.9)",1.3490378622759422
6,40,4,"('random', 0.9)",1.3609464064329522
6,40,5,"('random', 0.9)",1.3768173322174573
6,40,6,"('random', 0.9)",1.3955671774961107
6,40,7,"('random', 0.9)",1.4169162415228749
6,40,8,"('random', 0.9)",1.4402733258537348
6,40,9,"('random', 0.9)",1.4643040965454723
6,40,10,"('random', 0.9)",1.4873185309423895
