ID,Rating,Oranges6,Apples6,Watermelons6,Bananas6,Eggplants6,Tomatoes6,Potatoes6,Bread6,Oats6,Rice6,Fish6,Eggs6,Chicken6,Olive Oil6,Soy Bean Paste6,Beef6,Milk6,"Yogurt (low fat, plain)6",Cheese Balls6
Gal Gadot,Requested,2,2,2,4,2,2,2,3,3,4,4,4,3,2,3,3,3,3,4
Gal Gadot,Allocation,2,2,2,1,2,2,2,3,3,0,0,4,0,2,3,3,0,3,0
Gal Gadot,Rate Quantity,,,,,,,,,,,,,,,,,,,
Gal Gadot,Rate Item,,,,,,,,,,,,,,,,,,,
Anonymous Narwhal,Requested,2,4,4,4,4,5,5,2,4,4,4,3,3,3,1,4,3,2,4
Anonymous Narwhal,Allocation,2,4,4,4,1,0,0,2,0,4,1,3,2,3,1,0,3,2,4
Anonymous Narwhal,Rate Quantity,,,,,,,,,,,,,,,,,,,
Anonymous Narwhal,Rate Item,,,,,,,,,,,,,,,,,,,
csk6snj,Requested,4,4,2,2,2,2,2,2,3,1,2,3,3,3,3,3,1,3,3
csk6snj,Allocation,1,0,2,2,2,2,2,2,3,1,2,3,0,3,1,0,1,0,3
csk6snj,Rate Quantity,,,,,,,,,,,,,,,,,,,
csk6snj,Rate Item,,,,,,,,,,,,,,,,,,,
blacklodge,Requested,2,2,3,3,3,3,3,2,2,2,1,3,3,2,2,2,2,3,3
blacklodge,Allocation,2,2,3,3,0,3,0,2,2,2,1,3,0,2,2,2,2,0,0
blacklodge,Rate Quantity,,,,,,,,,,,,,,,,,,,
blacklodge,Rate Item,,,,,,,,,,,,,,,,,,,
nm2fs,Requested,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
nm2fs,Allocation,3,3,3,3,0,3,3,2,3,3,1,3,1,3,1,2,0,2,3
nm2fs,Rate Quantity,,,,,,,,,,,,,,,,,,,
nm2fs,Rate Item,,,,,,,,,,,,,,,,,,,
ae3xd,Requested,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3
ae3xd,Allocation,3,3,3,3,0,3,3,1,3,0,2,3,2,3,0,0,2,0,3
ae3xd,Rate Quantity,,,,,,,,,,,,,,,,,,,
ae3xd,Rate Item,,,,,,,,,,,,,,,,,,,
znp3ev,Requested,4,6,7,2,6,4,7,8,8,6,6,7,6,7,4,2,6,6,2
znp3ev,Allocation,4,6,0,2,2,4,6,0,0,5,6,7,6,1,4,2,0,6,2
znp3ev,Rate Quantity,,,,,,,,,,,,,,,,,,,
znp3ev,Rate Item,,,,,,,,,,,,,,,,,,,
zqz8ae,Requested,2,6,6,4,2,7,3,3,7,5,8,2,5,2,2,8,4,7,2
zqz8ae,Allocation,2,0,6,4,2,3,3,3,0,5,0,2,5,2,2,0,4,0,2
zqz8ae,Rate Quantity,,,,,,,,,,,,,,,,,,,
zqz8ae,Rate Item,,,,,,,,,,,,,,,,,,,
ak3gj,Requested,7,5,1,1,3,4,5,7,4,7,7,9,2,1,3,4,4,5,3
ak3gj,Allocation,0,2,1,1,3,4,4,0,4,0,0,2,2,1,3,4,4,5,3
ak3gj,Rate Quantity,1,1,2,,2,,2,1,,,1,,,,2,,,,2
ak3gj,Rate Item,,,,1,,,4,,,4,,,,1,1,,,3,1
pex7ps,Requested,4,7,7,7,4,2,3,3,4,2,3,3,4,6,3,7,6,5,6
pex7ps,Allocation,4,0,0,2,4,2,3,3,4,2,3,3,4,4,3,0,0,5,3
pex7ps,Rate Quantity,,,,,,,,,,,,,,,,,,,
pex7ps,Rate Item,,,,,,,,,,,,,,,,,,,