ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AllocationTime
Gal Gadot,1.0,3.0,3.0,3.0,3.0,1.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1
Anonymous Narwhal,2.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1
csk6snj,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,6.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1
blacklodge,2.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,1
nm2fs,3.0,3.0,1.0,5.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1
ae3xd,2.0,6.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,7.0,6.0,5.0,10.0,3.0,3.0,3.0,7.0,2.0,3.0,1
Gal Gadot,1.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,6.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,2
Anonymous Narwhal,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2
csk6snj,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,6.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2
blacklodge,4.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2
nm2fs,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2
ae3xd,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2
Gal Gadot,3.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0,3
Anonymous Narwhal,4.0,4.0,4.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3
csk6snj,4.0,5.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,3
blacklodge,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3
nm2fs,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
ae3xd,2.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,7.0,5.0,3.0,7.0,1.0,3.0,3.0,3.0,1.0,3.0,3
Gal Gadot,3.0,4.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,9.0,4.0,4.0,4
Anonymous Narwhal,4.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,4
csk6snj,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,4
blacklodge,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4
nm2fs,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4
ae3xd,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4
Gal Gadot,4.0,3.0,5.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,8.0,4.0,5.0,1.0,4.0,4.0,3.0,5
Anonymous Narwhal,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,5
csk6snj,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5
blacklodge,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,5
nm2fs,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5
ae3xd,3.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,5
Gal Gadot,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,6
Anonymous Narwhal,2.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,6
csk6snj,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,6
blacklodge,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,6
nm2fs,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,6
ae3xd,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,6
Gal Gadot,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,1.0,3.0,4.0,7
Anonymous Narwhal,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,7
csk6snj,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,7
blacklodge,1.0,1.0,3.0,5.0,2.0,3.0,3.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,7
nm2fs,3.0,3.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,7
ae3xd,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,7.0,5.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,7
Gal Gadot,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,2.0,1.0,3.0,8
Anonymous Narwhal,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,8
csk6snj,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8
blacklodge,3.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,8
nm2fs,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8
ae3xd,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,8
Gal Gadot,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0,3.0,1.0,2.0,3.0,9
Anonymous Narwhal,4.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,9
csk6snj,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,9
blacklodge,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,9
nm2fs,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,9
ae3xd,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,9
Gal Gadot,3.0,1.0,4.0,1.0,3.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,10
Anonymous Narwhal,3.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,10
csk6snj,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,10
blacklodge,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,10
nm2fs,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10
ae3xd,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10
Gal Gadot,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,11
Anonymous Narwhal,4.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,11
csk6snj,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,11
blacklodge,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,11
nm2fs,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,11
ae3xd,1.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,11
Gal Gadot,1.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,12
Anonymous Narwhal,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,12
csk6snj,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,12
blacklodge,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,12
nm2fs,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12
ae3xd,3.0,3.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,12
Gal Gadot,3.0,2.0,3.0,2.0,3.0,6.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,13
Anonymous Narwhal,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,13
csk6snj,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,13
blacklodge,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,13
nm2fs,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,13
ae3xd,3.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,7.0,2.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,13
Gal Gadot,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,14
Anonymous Narwhal,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,14
csk6snj,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,14
blacklodge,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,14
nm2fs,5.0,3.0,3.0,3.0,3.0,5.0,5.0,1.0,3.0,3.0,3.0,8.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,14
ae3xd,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,14
